Job Title,Company,Loaction,PostDate,CurrentDate,Summary,Salary,Joburl
"Software Engineer - C++, VC++",QuEST Global Engineering,"Thiruvananthapuram, Kerala",2 days ago,"June 16, 2021","Dialog & SDI based applications with basic controls (buttons, edit box, Radio buttons, scrollbar, Tree control, List control etc). Ability to design classes and define interfaces.",,https://in.indeed.com/rc/clk?jk=918c121df80c5658&fccid=ad3813e46e9342cd&vjs=3
Front End Developer,Verbat Technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","However, quite often a front-end web developer needs to make some small adjustments. Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image.",,https://in.indeed.com/rc/clk?jk=e5ac514057136fec&fccid=6038409a2c8713bc&vjs=3
Dot Net Developer,IPCS Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Net, HTML5, CSS3, Ajax, Jquery, Javascript, SQL, Web Hosting.",,https://in.indeed.com/rc/clk?jk=eb865b1cff99efb3&fccid=5775764343288834&vjs=3
Junior Software Engineer,PiServe Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021",1-year experienced candidates or Freshers with demonstrable skills can apply. Qualification Degree in computer stream. Should have a basic understanding of any of the following Object-oriented…,,https://in.indeed.com/rc/clk?jk=72c6ca375546d241&fccid=e5c6fe99946f5a3d&vjs=3
.Net Developer,Syosys Technologies,"Cannanore, Kerala",30+ days ago,"June 16, 2021",Need to be an active team player and should posess good analytical and problem solving skills. Experience with Desktop Applications and Background Services will be an advantage.,,https://in.indeed.com/rc/clk?jk=4fa548602fe69e45&fccid=c184c615219031e9&vjs=3
Sr.Python Developer,ThinkPalm Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021",Good experience in Python Application development. Individual contributor Job Features Job Category…,,https://in.indeed.com/rc/clk?jk=8f14aaa217ad4c06&fccid=121dbd0f35f85fab&vjs=3
Associate Software Engineer,PiServe Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Should be able to adhere to design specifications, useful suggestions on technical design and requirements note (where the functionality had to be rebuilt). Good understanding in OOPs concept.",,https://in.indeed.com/rc/clk?jk=55f0d7d31c4e4adb&fccid=e5c6fe99946f5a3d&vjs=3
Software Engineer (PHP),Concept Solutions,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","Extensive knowledge in object-oriented analysis, designs concepts and design patterns. Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and…",,https://in.indeed.com/rc/clk?jk=40b99e3f98ae0d63&fccid=dfd8b704e3af91e7&vjs=3
Software Engineer – WordPress,Fingent,"Kochi, Kerala",30+ days ago,"June 16, 2021",Finalize back-end features and testing web applications. Building WordPress CMS websites using the best practice & high rated WordPress plugins. Ability to design mobile responsive & SEO Friendly web…,,https://in.indeed.com/rc/clk?jk=ffba454500719302&fccid=b67bb5442ac9dbdc&vjs=3
Java Developer,Heidelsoft Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Experience in Web application Technologies like JAVA/JSP, HTML, Javascript and CSS. Experience in Java Web Applications. Experience in Database Query Languages.",,https://in.indeed.com/rc/clk?jk=f95eecf1774ce90a&fccid=ef33f1ced575ad9e&vjs=3
